actual,proposed
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.06908771395683289,0.0
-0.07375572621822357,-0.0063102636486291885
-0.07562292367219925,-0.006638069171458483
-0.08231135457754135,-0.006974174175411463
-0.08627808094024658,-0.007956845685839653
-0.0882614403963089,-0.008532038889825344
-0.09123647958040237,-0.009022386744618416
-0.09520316869020462,-0.009732013568282127
-0.09851530194282532,-0.010472492314875126
-0.10249559581279755,-0.01127469353377819
-0.10747094452381134,-0.012299666181206703
-0.11344131827354431,-0.013613221235573292
-0.11841660737991333,-0.014999751932919025
-0.12584461271762848,-0.016447095200419426
-0.13289155066013336,-0.018457645550370216
-0.13993841409683228,-0.020524900406599045
-0.14597854018211365,-0.02254628948867321
-0.15403196215629578,-0.02481713518500328
-0.16309194266796112,-0.02772672101855278
-0.15489612519741058,-0.030988678336143494
-0.16214215755462646,-0.03080819733440876
-0.16938813030719757,-0.03369082883000374
-0.17663399875164032,-0.036702290177345276
-0.1838797926902771,-0.039842575788497925
-0.19743956625461578,-0.04290737211704254
-0.20496012270450592,-0.047826919704675674
-0.2124805897474289,-0.05147084593772888
-0.21812087297439575,-0.05477628856897354
-0.22470109164714813,-0.05792710557579994
-0.22390331327915192,-0.06142266467213631
-0.22936350107192993,-0.06269733607769012
-0.23573365807533264,-0.06601056456565857
